Data da Coleta,Regiao - Sigla,Estado - Sigla,Municipio,Produto,Data da Coleta,Valor de Venda,Bandeira
2023-01-05,N,PA,ALTAMIRA,GASOLINA,2023-01-05,"5,6",BRANCA
2023-01-05,N,PA,ALTAMIRA,GASOLINA,2023-01-05,"6,08",VIBRA ENERGIA
2023-01-05,N,PA,ALTAMIRA,GASOLINA,2023-01-05,"6,05",VIBRA ENERGIA
2023-01-05,NE,PB,BAYEUX,GASOLINA,2023-01-05,"5,19",BRANCA
2023-01-05,NE,PB,BAYEUX,GASOLINA,2023-01-05,"5,15",VIBRA ENERGIA
2023-01-05,NE,PE,BELO JARDIM,GASOLINA,2023-01-05,"5,08",BRANCA
2023-01-05,NE,PI,TERESINA,GASOLINA,2023-01-05,"5,69",BRANCA
2023-01-05,NE,PI,TERESINA,GASOLINA,2023-01-05,"5,59",ALESAT
2023-01-05,NE,PI,TERESINA,GASOLINA,2023-01-05,"5,49",BRANCA
2023-01-05,NE,PI,TERESINA,GASOLINA,2023-01-05,"5,49",VIBRA ENERGIA
2023-01-05,NE,PI,TERESINA,GASOLINA,2023-01-05,"5,48",VIBRA ENERGIA
2023-01-05,NE,PI,TERESINA,GASOLINA,2023-01-05,"5,54",VIBRA ENERGIA
2023-01-05,NE,PI,TERESINA,GASOLINA,2023-01-05,"5,59",IPIRANGA
2023-01-05,NE,PI,TERESINA,GASOLINA,2023-01-05,"5,54",IPIRANGA
2023-01-05,S,PR,ARAUCARIA,GASOLINA,2023-01-05,"5,54",VIBRA ENERGIA
2023-01-05,S,PR,ARAUCARIA,GASOLINA,2023-01-05,"5,54",VIBRA ENERGIA
2023-01-05,S,PR,ARAUCARIA,GASOLINA,2023-01-05,"5,67",IPIRANGA
2023-01-05,S,PR,ARAUCARIA,GASOLINA,2023-01-05,"5,79",IPIRANGA
2023-01-05,S,PR,ARAUCARIA,GASOLINA,2023-01-05,"5,79",BRANCA
2023-01-05,S,PR,ARAUCARIA,GASOLINA,2023-01-05,"5,79",BRANCA
2023-01-05,S,PR,ARAUCARIA,GASOLINA,2023-01-05,"5,79",RAIZEN
2023-01-05,S,PR,GUARAPUAVA,GASOLINA,2023-01-05,"4,95",BRANCA
2023-01-05,S,PR,GUARAPUAVA,GASOLINA,2023-01-05,"4,99",IPIRANGA
2023-01-05,S,PR,GUARAPUAVA,GASOLINA,2023-01-05,"5,09",VIBRA ENERGIA
2023-01-05,S,PR,GUARAPUAVA,GASOLINA,2023-01-05,"5,17",BRANCA
2023-01-05,S,PR,GUARAPUAVA,GASOLINA,2023-01-05,"4,95",BRANCA
2023-01-05,S,PR,GUARAPUAVA,GASOLINA,2023-01-05,"4,99",VIBRA ENERGIA
2023-01-05,S,PR,GUARAPUAVA,GASOLINA,2023-01-05,"5,09",BRANCA
2023-01-05,S,PR,GUARAPUAVA,GASOLINA,2023-01-05,"5,09",VIBRA ENERGIA
2023-01-05,S,PR,UMUARAMA,GASOLINA,2023-01-05,"5,32",BRANCA
2023-01-05,S,PR,UMUARAMA,GASOLINA,2023-01-05,"5,69",IPIRANGA
2023-01-05,S,PR,UMUARAMA,GASOLINA,2023-01-05,"5,74",IPIRANGA
2023-01-05,SE,RJ,ANGRA DOS REIS,GASOLINA,2023-01-05,"6,19",IPIRANGA
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,39",RAIZEN
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,29",BRANCA
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,59",VIBRA ENERGIA
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,39",BRANCA
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,29",BRANCA
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,49",BRANCA
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,59",RAIZEN
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,39",RAIZEN
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,49",VIBRA ENERGIA
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,45",BRANCA
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,38",VIBRA ENERGIA
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,39",BRANCA
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,39",BRANCA
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,39",BRANCA
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,39",VIBRA ENERGIA
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,39",VIBRA ENERGIA
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,28",BRANCA
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,59",RAIZEN
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,38",BRANCA
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,99",IPIRANGA
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,49",BRANCA
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,69",IPIRANGA
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,59",VIBRA ENERGIA
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,79",RAIZEN
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,79",IPIRANGA
2023-01-05,SE,RJ,RIO DE JANEIRO,GASOLINA,2023-01-05,"5,64",IPIRANGA
2023-01-05,SE,RJ,SAO FRANCISCO DE ITABAPOANA,GASOLINA,2023-01-05,"5,97",BRANCA
2023-01-05,SE,RJ,SAO FRANCISCO DE ITABAPOANA,GASOLINA,2023-01-05,"5,97",BRANCA
2023-01-05,SE,RJ,SAO FRANCISCO DE ITABAPOANA,GASOLINA,2023-01-05,"5,94",BRANCA
